index,comment_count,day_of_week,likes_followers_ratio,tags_value,object1,object1_l,object1_t,object1_r,object1_b,object2,object2_l,object2_t,object2_r,object2_b,object3,object3_l,object3_t,object3_r,object3_b,hour
0,27,3,0.032125984,0,0,0.333,0.357,0.673,0.938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
1,21,5,0.036574803,9059300,0,0.587,0.387,0.89,0.913,2,0.003,0.472,0.681,0.969,-1,-1,-1,-1,-1,21
2,8,4,0.024330709,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
3,18,3,0.034448819,0,0,0.323,0.195,0.974,1,0,0.226,0.835,0.257,0.936,-1,-1,-1,-1,-1,18
4,32,1,0.037401575,0,0,0.193,0.157,0.839,0.763,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
5,11,6,0.027204724,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
6,11,5,0.031417323,0,0,0.274,0.427,0.429,0.804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
7,28,3,0.036496063,0,0,0.423,0.141,0.809,0.938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
8,3,2,0.020748031,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
9,8,7,0.030866142,0,0,0.143,0.191,0.839,0.984,0,0.834,0.363,0.904,0.511,0,0.75,0.365,0.835,0.544,18
10,18,5,0.036496063,0,0,0.367,0.315,0.647,0.983,0,0.33,0.49,0.369,0.584,0,0.044,0.513,0.057,0.543,22
11,12,4,0.02484252,0,0,0.497,0.338,1,0.977,13,0.364,0.349,0.936,0.965,-1,-1,-1,-1,-1,18
12,12,2,0.03511811,0,0,0.257,0.271,0.51,0.856,56,0.415,0.557,0.568,0.848,-1,-1,-1,-1,-1,10
13,12,1,0.032047244,0,2,0.226,0.511,0.296,0.553,2,0.494,0.504,0.555,0.546,2,0.464,0.503,0.486,0.529,9
14,14,7,0.035944882,0,0,0.331,0.218,0.633,0.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
15,10,5,0.037322835,0,0,0.473,0.427,0.83,0.974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
16,4,4,0.026338583,0,76,0.597,0.649,0.719,0.898,73,0,0.556,0.52,1,-1,-1,-1,-1,-1,15
17,29,2,0.036377953,12,0,0.421,0.156,0.701,0.959,1,0.225,0.444,0.731,0.997,2,0.788,0.611,0.992,0.693,20
18,26,2,0.032834646,0,0,0,0.374,0.403,0.967,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
19,21,7,0.033188976,0,0,0.366,0.47,0.673,0.961,56,0.44,0.608,0.687,0.939,-1,-1,-1,-1,-1,21
20,7,4,0.025,0,9,0.882,0.373,0.965,0.506,14,0.323,0.492,0.354,0.506,9,0.74,0.559,0.777,0.616,21
21,11,3,0.036377953,0,0,0.315,0.093,0.805,1,2,0.098,0.387,0.189,0.433,2,0.186,0.391,0.265,0.426,21
22,12,1,0.035708661,0,0,0.451,0.319,0.72,0.852,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
23,16,7,0.032244094,59334708,0,0.123,0.287,0.867,0.999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
24,16,4,0.037244094,0,11,0.669,0.004,0.959,0.128,0,0.326,0.277,0.524,1,26,0.289,0.642,0.441,0.816,22
25,14,3,0.031456693,0,0,0.466,0.429,0.623,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
26,11,1,0.03488189,0,0,0.297,0.178,0.808,0.918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
27,40,7,0.039724409,0,0,0.224,0.253,0.89,0.947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
28,7,7,0.020354331,2501,0,0.256,0.649,0.503,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
29,24,5,0.04023622,0,0,0.194,0.081,0.695,0.927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
30,21,4,0.025314961,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
31,31,1,0.041929134,0,0,0.36,0.149,0.67,0.958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
32,31,3,0.036771654,0,0,0.118,0.217,0.677,0.929,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
33,4,2,0.025551181,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
34,28,1,0.051535433,0,0,0.178,0.029,0.95,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
35,5,6,0.031456693,0,0,0.774,0.28,0.796,0.316,0,0.724,0.271,0.755,0.318,0,0.302,0.27,0.323,0.319,20
36,14,5,0.032519685,0,0,0.467,0.326,0.848,0.995,29,0.282,0.543,0.328,0.608,-1,-1,-1,-1,-1,21
37,14,4,0.038267717,0,0,0.325,0.344,0.711,0.949,2,0,0.298,0.804,0.679,-1,-1,-1,-1,-1,21
38,5,2,0.032755906,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
39,13,7,0.033976378,0,0,0.04,0.302,0.475,0.974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
40,15,7,0.043700787,0,0,0.033,0.654,0.588,0.908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14
41,6,3,0.03992126,0,2,0,0.69,0.053,0.801,2,0.042,0.684,0.155,0.782,7,0.092,0.56,0.996,0.971,19
42,19,2,0.040944882,0,0,0.37,0.459,0.657,0.978,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
43,17,1,0.039015748,0,0,0.395,0.277,0.64,0.949,67,0.481,0.345,0.497,0.374,26,0.542,0.523,0.629,0.699,21
44,2,7,0.033346457,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
45,18,4,0.04003937,0,0,0.475,0.343,0.696,0.992,0,0.86,0.453,0.882,0.5,0,0.823,0.453,0.842,0.501,21
46,14,2,0.041220472,0,0,0.353,0.412,0.949,1,26,0.392,0.494,0.971,1,-1,-1,-1,-1,-1,19
47,11,4,0.032952756,0,0,0.172,0.183,0.823,0.809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
48,8,2,0.023188976,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
49,7,7,0.038858268,0,0,0.461,0.623,0.681,0.997,0,0.492,0.08,0.692,0.282,-1,-1,-1,-1,-1,20
50,20,6,0.037559055,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
51,19,4,0.035866142,0,0,0.338,0.834,0.378,0.944,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
52,10,2,0.021456693,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
53,19,7,0.041377953,0,0,0.229,0.16,0.494,0.953,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
54,17,7,0.036338583,0,58,0,0.517,0.239,0.805,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
55,36,4,0.056496063,0,0,0.305,0.486,0.66,0.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
56,24,3,0.03976378,0,0,0.387,0.821,0.425,0.932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
57,32,2,0.036732283,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
58,30,1,0.047716535,0,0,0.153,0.302,0.488,0.977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
59,37,6,0.052677165,0,0,0.216,0.024,0.787,0.98,0,0.163,0.283,0.194,0.354,0,0.132,0.279,0.166,0.338,22
60,17,5,0.042283465,0,0,0.374,0.764,0.471,0.956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
61,10,3,0.036181102,0,32,0.005,0.225,0.104,0.33,57,0.004,0.662,0.309,0.907,-1,-1,-1,-1,-1,21
62,13,7,0.047480315,0,0,0.146,0.396,0.442,1,13,0.054,0.622,0.937,0.998,-1,-1,-1,-1,-1,21
63,21,6,0.038188976,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
64,12,4,0.042125984,0,0,0.197,0.41,0.439,0.872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
65,31,2,0.054291339,0,0,0.119,0.061,0.755,0.837,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
66,7,6,0.030905512,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
67,32,5,0.051535433,0,0,0.47,0.537,0.708,0.983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
68,8,2,0.032637795,0,0,0.001,0,0.988,0.968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
69,20,1,0.04507874,0,0,0.027,0,0.822,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
70,11,4,0.041614173,0,0,0.202,0.221,0.953,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
71,14,3,0.051141732,0,0,0.096,0.394,0.649,1,7,0,0.22,1,0.905,-1,-1,-1,-1,-1,22
72,6,2,0.031771654,0,2,0.143,0.446,1,0.991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
73,6,7,0.038858268,60282,0,0.313,0.498,0.598,0.936,14,0.087,0.074,0.12,0.139,-1,-1,-1,-1,-1,22
74,15,4,0.046259843,0,0,0.2,0.276,0.667,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
75,6,3,0.03019685,0,0,0.143,0.841,0.285,0.921,0,0.503,0.653,0.54,0.686,37,0.263,0.895,0.355,0.928,21
76,16,2,0.039133858,0,0,0.063,0.211,0.573,1,0,0.53,0.234,0.688,0.38,-1,-1,-1,-1,-1,17
77,8,6,0.026653543,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
78,22,4,0.042204724,0,0,0.01,0.054,0.99,0.869,0,0.243,0.382,0.406,0.437,-1,-1,-1,-1,-1,21
79,14,2,0.053976378,0,0,0.429,0.326,0.673,1,0,0.203,0.659,0.248,0.758,0,0.239,0.656,0.276,0.755,22
80,109,7,0.055,0,0,0.307,0.042,0.705,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
81,21,3,0.043700787,0,0,0.025,0.445,0.354,0.999,9,0.955,0.418,0.992,0.482,-1,-1,-1,-1,-1,21
82,20,7,0.043031496,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
83,18,5,0.051417323,0,10,0.412,0.647,0.635,0.958,0,0.19,0.374,0.446,0.957,26,0.36,0.439,0.47,0.704,22
84,19,3,0.05496063,8265356,0,0.226,0.027,0.62,0.993,29,0.269,0.39,0.418,0.591,-1,-1,-1,-1,-1,18
85,14,1,0.052755906,0,0,0.035,0.231,0.706,0.966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
86,20,7,0.050708661,0,0,0.129,0.377,0.64,0.867,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
87,18,5,0.053976378,0,0,0.087,0.139,0.749,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
88,1,3,0.029251969,0,58,0.077,0.474,0.324,0.854,58,0.593,0.746,0.751,0.976,-1,-1,-1,-1,-1,15
89,12,2,0.04003937,0,0,0.566,0.304,1,1,7,0.023,0.499,0.988,0.941,-1,-1,-1,-1,-1,20
90,30,7,0.040984252,0,0,0.552,0.323,0.818,0.987,26,0.596,0.425,0.703,0.66,-1,-1,-1,-1,-1,22
91,12,5,0.059685039,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
92,2,4,0.051023622,0,0,0.454,0.381,0.589,0.955,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23
93,19,2,0.040748031,0,0,0.126,0.183,0.519,0.981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
94,9,7,0.037283465,0,0,0.451,0.525,0.618,0.857,16,0.656,0.752,0.87,0.894,0,0.288,0.517,0.508,0.869,18
95,17,4,0.040866142,0,0,0.358,0.243,0.863,0.975,2,0.152,0.426,0.25,0.467,2,0.283,0.422,0.375,0.459,20
